industry,rank,nameCn
专业零售,500,AutoNation公司
专业零售,319,长江和记实业有限公司
专业零售,321,TJX公司
专业零售,258,百思买
专业零售,428,Inditex公司
专业零售,59,家得宝
专业零售,485,苏宁云商集团
专业零售,492,Dollar General公司
专业零售,482,H&M;公司
专业零售,122,美国劳氏公司
互联网服务和零售,478,腾讯控股有限公司
互联网服务和零售,462,阿里巴巴集团
互联网服务和零售,65,Alphabet公司
互联网服务和零售,26,亚马逊
互联网服务和零售,393,Facebook公司
互联网服务和零售,261,京东
人寿与健康保险（互助）,139,安邦保险集团
人寿与健康保险（互助）,278,美国教师退休基金会
人寿与健康保险（互助）,270,万通互惠理财
人寿与健康保险（互助）,243,美国纽约人寿保险公司
人寿与健康保险（互助）,378,西北互助人寿保险公司
人寿与健康保险（互助）,242,住友生命保险公司
人寿与健康保险（互助）,111,日本生命保险公司
人寿与健康保险（互助）,409,Achmea公司
人寿与健康保险（互助）,297,日本明治安田生命保险公司
人寿与健康保险（股份）,128,大都会人寿
人寿与健康保险（股份）,90,英杰华集团
人寿与健康保险（股份）,57,意大利忠利保险公司
人寿与健康保险（股份）,142,第一生命控股有限公司
人寿与健康保险（股份）,56,英国保诚集团
人寿与健康保险（股份）,147,荷兰全球保险集团
人寿与健康保险（股份）,266,加拿大鲍尔集团
人寿与健康保险（股份）,200,法国国家人寿保险公司
人寿与健康保险（股份）,246,韩华集团
人寿与健康保险（股份）,252,中国太平洋保险（集团）股份有限公司(CHINA PACIFIC INSURANCE 
人寿与健康保险（股份）,51,中国人寿保险（集团）公司
人寿与健康保险（股份）,285,意大利邮政集团
人寿与健康保险（股份）,383,友邦保险
人寿与健康保险（股份）,411,国泰人寿保险股份有限公司
人寿与健康保险（股份）,413,三星人寿保险
人寿与健康保险（股份）,422,英国耆卫保险公司
人寿与健康保险（股份）,483,美国家庭人寿保险公司
人寿与健康保险（股份）,497,新华人寿保险股份有限公司
人寿与健康保险（股份）,148,保德信金融集团
人寿与健康保险（股份）,49,英国法通保险公司
人寿与健康保险（股份）,250,宏利金融
人寿与健康保险（股份）,25,安盛
人寿与健康保险（股份）,33,日本邮政控股公司
人寿与健康保险（股份）,39,中国平安保险（集团）股份有限公司
保健：保险和管理医保,130,安泰保险
保健：保险和管理医保,244,Centene公司
保健：保险和管理医保,256,信诺
保健：保险和管理医保,166,哈门那公司
保健：保险和管理医保,13,联合健康集团
保健：保险和管理医保,70,Anthem公司
保健：医疗设施,335,费森尤斯集团
保健：医疗设施,214,HCA公司
保健：药品和其他服务,53,美国快捷药方控股公司
保健：药品和其他服务,14,CVS Health公司
信息技术服务,181,慧与公司
信息技术服务,237,富士通
信息技术服务,81,国际商业机器公司
信息技术服务,305,埃森哲
信息技术服务,437,日本电气公司
公用设施,344,Exelon公司
公用设施,332,Iberdrola公司
公用设施,451,日本中部电力
公用设施,84,意大利国家电力公司
公用设施,286,英国森特理克集团
公用设施,382,中国华电集团公司
公用设施,417,西班牙天然气公司
公用设施,82,法国电力公司
公用设施,269,南苏格兰电力
公用设施,465,杜克能源
公用设施,185,东京电力公司
公用设施,389,关西电力
公用设施,195,莱茵集团
公用设施,404,法国威立雅环境集团
公用设施,491,英国国家电网
公用设施,2,国家电网公司
公用设施,100,中国南方电网有限责任公司
公用设施,177,韩国电力公司
其他,361,3M公司
制药,358,Gilead Sciences公司
制药,173,辉瑞制药有限公司
制药,174,拜耳集团
制药,186,诺华公司
制药,496,梯瓦制药工业公司
制药,255,默沙东
制药,199,中国医药集团
制药,240,赛诺菲
制药,97,强生
制药,169,瑞士罗氏公司
制药,273,英国葛兰素史克公司
制药,429,艾伯维
制药,471,安进
制药,470,阿斯利康
制药,86,中国华润总公司
化学品,211,中国化工集团公司
化学品,299,沙特基础工业公司
化学品,126,巴斯夫公司
化学品,374,利安德巴塞尔工业公司
化学品,196,陶氏化学
化学品,349,三菱化学控股
化学品,438,杜邦公司
医疗器材和设备,375,荷兰皇家飞利浦公司
医疗器材和设备,377,美敦力公司
半导体、电子元件,369,台积电
半导体、电子元件,460,高通
半导体、电子元件,455,伟创力公司
半导体、电子元件,144,英特尔公司
半导体、电子元件,474,Onex公司
多元化金融,118,房地美
多元化金融,459,阳光金控投资集团有限公司
多元化金融,20,EXOR集团
多元化金融,172,中国中信集团有限公司
多元化金融,432,英国标准人寿保险公司
多元化金融,46,房利美
多元化金融,315,美国运通公司
多元化金融,441,布鲁克菲尔德资产管理公司
娱乐,371,时代华纳
娱乐,161,华特迪士尼公司
娱乐,396,二十一世纪福克斯
家居、个人用品,379,欧莱雅
家居、个人用品,150,联合利华
家居、个人用品,98,宝洁公司
工业机械,314,瑞士ABB集团
工业机械,318,中国中车股份有限公司
工业机械,364,中国船舶工业集团公司
工业机械,313,韩国现代重工集团
工业机械,272,江森自控国际公司
工业机械,66,西门子
